Date,Description,Debit,Credit
01/10/2024,SALARY DIRECT CREDIT,,4500.00
03/10/2024,NETFLIX.COM,15.99,
05/10/2024,WOOLWORTHS METRO,87.45,
07/10/2024,UBER EATS,32.50,
10/10/2024,SPOTIFY PREMIUM,12.99,
12/10/2024,SHELL PETROL,65.00,
15/10/2024,AMAZON PURCHASE,124.99,
18/10/2024,STARBUCKS,8.50,
20/10/2024,GYM MEMBERSHIP ANYTIME,49.99,
22/10/2024,ELECTRICITY BILL AGL,145.00,
25/10/2024,DOORDASH ORDER,28.75,
27/10/2024,COLES SUPERMARKET,156.23,
29/10/2024,ATM FEE,2.50,
01/11/2024,SALARY DIRECT CREDIT,,4500.00
03/11/2024,NETFLIX.COM,15.99,
04/11/2024,UBER TRIP,18.40,
06/11/2024,WOOLWORTHS,92.30,
09/11/2024,SPOTIFY PREMIUM,12.99,
11/11/2024,BP FUEL,72.00,
14/11/2024,AMAZON PRIME,14.99,
16/11/2024,MCDONALDS,15.60,
18/11/2024,TARGET PURCHASE,89.00,
20/11/2024,GYM MEMBERSHIP ANYTIME,49.99,
22/11/2024,WATER BILL SYDNEY,85.00,
24/11/2024,UBER EATS,45.20,
26/11/2024,ALDI STORES,78.45,
28/11/2024,MONTHLY FEE,5.00,
30/11/2024,DISNEY PLUS,13.99,
01/12/2024,SALARY DIRECT CREDIT,,4500.00
02/12/2024,NETFLIX.COM,15.99,
04/12/2024,UBER EATS,38.90,
06/12/2024,COLES EXPRESS,45.60,
08/12/2024,SPOTIFY PREMIUM,12.99,
10/12/2024,SHELL PETROL,68.50,
12/12/2024,KMART PURCHASE,156.00,
14/12/2024,STARBUCKS,12.00,
16/12/2024,DELIVEROO ORDER,52.30,
18/12/2024,WOOLWORTHS METRO,198.45,
20/12/2024,GYM MEMBERSHIP ANYTIME,49.99,
22/12/2024,GAS BILL ORIGIN,95.00,
24/12/2024,AMAZON GIFT,250.00,
26/12/2024,UBER TRIP,24.50,
28/12/2024,SERVICE FEE,3.50,
30/12/2024,DISNEY PLUS,13.99,
